Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
"Vivo V1 (Gold, 16 GB)",2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) HD Display,13MP Rear Camera,2300 mAh Battery,1 Year Manufacturer Warranty,"13,999"
"Honor 20i (Phantom Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,24MP + 2MP + 8MP | 32MP Front Camera,3400 mAh Battery,HiSilicon Kirin 710 Processor,"10,999"
"Honor 20i (Midnight Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,24MP + 2MP + 8MP | 32MP Front Camera,3400 mAh Battery,HiSilicon Kirin 710 Processor,"10,999"
"Honor 20 (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM |,15.9 cm (6.26 inch) Display,48MP + 2MP + 16MP | 32MP Front Camera,3750 mAh Battery,HiSilicon Kirin 980 Processor,"24,999"
"Honor 20 (Sapphire Blue, 128 GB)",6 GB RAM | 128 GB ROM |,15.9 cm (6.26 inch) Display,48MP + 2MP + 16MP | 32MP Front Camera,3750 mAh Battery,HiSilicon Kirin 980 Processor,"24,999"
"Honor 8X (Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) Full HD+ Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,2.2 GHz Kirin 710 Octa Core Processor,"12,999"
"Honor 10 Lite (Midnight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,"8,499"
"Honor 8C (Black, 32 GB)",4 GB RAM | 32 GB ROM |,15.9 cm (6.26 inch) Display,13MP + 2MP | 8MP Front Camera,4000 mAh Battery,1 Year Manufacturing Warranty,"7,999"
"Honor 8X (Red, 64 GB)",4 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Display,20MP Rear Camera,3750 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"11,999"
"Honor 10 Lite (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,"10,999"
"Honor 10 Lite (Sapphire Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,"11,499"
"Honor 8C (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.9 cm (6.26 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"7,999"
"Honor 8X (Blue, 64 GB)",4 GB RAM | 64 GB ROM |,16.51 cm (6.5 inch) Full HD+ Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,Kirin 710 Processor,"9,999"
"Honor 8X (Black, 128 GB)",6 GB RAM | 128 GB ROM |,16.51 cm (6.5 inch) Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries and 3 months for Data/USB cable from the date of purchase,"15,999"
"Honor 8X (Blue, 128 GB)",6 GB RAM | 128 GB ROM |,16.51 cm (6.5 inch) Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries and 3 months for Data/USB cable from the date of purchase,"15,999"
"Honor 9N (Robin Egg Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,"12,500"
"Honor 9N (Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,"8,499"
"Honor 9N (Purple, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,"12,500"
"Honor 9N (Robin Egg Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,"14,500"
"Honor 7X (Gold, 64 GB)",4 GB RAM | 64 GB ROM |,15.06 cm (5.93 inch) Display,16MP Rear Camera,3340 mAh Battery,Kirin 659 Processor,"15,500"
"Honor 7S (Blue, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3020 mAh Battery,Mediatek MT6739 Cortex A53 Processor,"5,999"
"Honor 7X (Gold, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.06 cm (5.93 inch) Full HD+ Display,16MP + 2MP | 8MP Front Camera,3340 mAH Battery,Kirin 659 Processor,"14,000"
"Honor 7X (Red, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.06 cm (5.93 inch) Full HD+ Display,16MP + 2MP | 8MP Front Camera,3340 mAH Battery,Kirin 659 Processor,"14,500"
"Honor 9N (Midnight Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,"8,499"
"Honor 9N (Midnight Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,"9,999"
"Honor 6X (Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 2MP | 8MP Front Camera,3340 mAh Battery,Kirin 655 Processor,"13,999"
"Honor 6X (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 2MP | 8MP Front Camera,3340 mAh Battery,Kirin 655 Processor,"11,999"
"Honor Bee 2 (Gold, 8 GB)",1 GB RAM | 8 GB ROM |,11.43 cm (4.5 inch) Display,5MP Rear Camera,2100 mAh Battery,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","6,499"
"Honor 8 Lite (Blue, 64 GB)",4 GB RAM | 64 GB ROM |,13.21 cm (5.2 inch) Display,12MP Rear Camera,3000 mAh Battery,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","18,760"
"Honor 8 Lite (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Octa Core 2.1GHz Processor,"13,490"
"Honor Bee 4G (Gold, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Battery,Cortex-A53 Processor,"7,999"
"Honor 8 Smart (White, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Kirin 650 64-bit ARM A53 Processor,"16,699"
"Honor Holly 3 (White, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery,Huawei Kirin 620 Octa Core 1.2GHz Processor,"10,499"
"Honor Holly 3 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery,Huawei Kirin 620 Octa Core 1.2GHz Processor,"6,900"
Honor 8,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3000 mAh Li-Polymer Battery,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor,"29,999"
Honor 8,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3000 mAh Li-Polymer Battery,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor,"29,999"
Honor 8,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3000 mAh Li-Polymer Battery,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor,"29,999"
"Honor 4X (Gold, 8 GB)",2 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 410 MSM8916 Processor,"13,163"
"Honor 4X (White, 8 GB)",2 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 410 MSM8916 64-bit Processor,"9,999"
"Honor 6 Plus (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,8MP + 8MP | 8MP Front Camera,3600 mAh Battery,Hisilicon Kirin 925 Cortex-A15 + Cortex-A7 Processor,"26,499"
"Honor 4X (Black, 8 GB)",2 GB RAM | 8 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 410 MSM8916 Processor,"9,999"
"Honor 6 (Black, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Kirin 920 Processor,"9,799"
"Honor 9 Lite (Midnight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.35 cm (5.65 inch) Full HD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,3000 mAh Battery,Kirin 659 Processor,"8,999"
"Honor 9 Lite (Sapphire Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.35 cm (5.65 inch) Full HD+ Display,13MP + 2MP | 13MP + 2MP Dual Front Camera,3000 mAh Battery,Kirin 659 Processor,"7,999"
"Honor View 20 (Phantom Blue, 256 GB)",8 GB RAM | 256 GB ROM |,16.26 cm (6.4 inch) Display,48MP + 48MP | 24MP Dual Front Camera,4000 mAh Battery,Kirin 980 octa core processor Processor,"29,990"
"Honor 20i (Phantom Red, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,24MP + 2MP + 8MP | 32MP Front Camera,3400 mAh Battery,HiSilicon Kirin 710 Processor,"10,999"
"Honor View 20 (sapphire blue, 128 GB)",6 GB RAM | 128 GB ROM |,16.26 cm (6.4 inch) Display,48MP Rear Camera,4000 mAh Battery,1 Year Warranty,"23,990"
"Honor 10 Lite (Sapphire Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.77 cm (6.21 inch) Full HD+ Display,13MP + 2MP | 24MP Front Camera,3400 mAh Lithium Polymer Battery,Kirin 710 2.2GHz Octa Core Processor,"8,499"
"Honor Play (Midnight Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,16MP + 2MP | 16MP Front Camera,3750 mAh Lithium Polymer Battery,Kirin 970 AI Chipset Processor,"11,999"
"Honor 7C (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm SDM450 Processor,"14,999"
"Honor 7A (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon Octa Core Processor,"7,999"
"Honor 7A (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon Octa Core Processor,"7,999"
"Honor Holly 3 (White, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery,Huawei Kirin 620 Octa Core 1.2GHz Processor,"13,999"
